LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn
774738,UID-45082,Yes,Yes,No,35,No,Option C,Option B,Option C,Option C,Option B,Option C,Option C,Option C,Option C,No,Option A,76.21,UID-11953,Yes
446866,UID-92846,Yes,No,Yes,36,Yes,Option C,Option B,Option A,Option A,Option C,Option B,Option C,Option B,Option A,Yes,Option B,55.88,UID-42123,No
186951,UID-56322,No,No,Yes,26,Yes,Option B,Option B,Option B,Option B,Option A,Option B,Option B,Option A,Option B,Yes,Option A,110.58,UID-42979,No
238085,UID-46914,Yes,Yes,Yes,13,Yes,Option B,Option A,Option C,Option A,Option C,Option A,Option B,Option C,Option B,No,Option B,91.94,UID-17496,Yes
961190,UID-89923,Yes,Yes,Yes,39,No,Option A,Option C,Option B,Option B,Option B,Option B,Option A,Option B,Option A,Yes,Option C,84.92,UID-51645,Yes
771317,UID-12744,Yes,No,No,58,No,Option B,Option C,Option A,Option B,Option A,Option A,Option B,Option A,Option A,Yes,Option A,102.73,UID-80909,No
368278,UID-56105,No,No,No,26,No,Option C,Option A,Option C,Option C,Option A,Option A,Option C,Option A,Option B,No,Option B,105.12,UID-90859,Yes
625642,UID-85736,No,No,Yes,26,Yes,Option C,Option C,Option B,Option A,Option A,Option A,Option B,Option C,Option B,No,Option B,89.81,UID-99189,No
284951,UID-90135,No,Yes,Yes,43,No,Option C,Option C,Option A,Option C,Option C,Option A,Option C,Option C,Option A,No,Option B,82.93,UID-41077,Yes
469579,UID-68359,No,No,No,44,Yes,Option C,Option A,Option A,Option C,Option C,Option B,Option C,Option A,Option C,No,Option B,55.86,UID-48074,No
909032,UID-52245,Yes,No,No,28,Yes,Option B,Option B,Option C,Option C,Option C,Option C,Option C,Option B,Option A,Yes,Option A,53.23,UID-29473,Yes
149879,UID-63362,No,Yes,No,40,No,Option B,Option C,Option B,Option C,Option C,Option C,Option B,Option A,Option A,Yes,Option C,108.02,UID-45150,Yes
167583,UID-39256,No,Yes,Yes,13,Yes,Option C,Option C,Option B,Option C,Option C,Option A,Option B,Option C,Option A,Yes,Option B,114.83,UID-64432,Yes
657651,UID-31942,Yes,Yes,No,45,No,Option C,Option A,Option B,Option C,Option B,Option A,Option C,Option B,Option A,No,Option A,89.04,UID-48833,Yes
659092,UID-24764,Yes,Yes,No,64,No,Option B,Option A,Option A,Option A,Option C,Option C,Option A,Option C,Option C,No,Option B,38.1,UID-29150,No
200140,UID-18275,Yes,No,Yes,59,No,Option B,Option C,Option A,Option C,Option B,Option A,Option B,Option C,Option C,Yes,Option A,70.03,UID-12120,No
356956,UID-25442,No,Yes,Yes,17,Yes,Option C,Option C,Option B,Option B,Option C,Option A,Option C,Option A,Option A,No,Option A,95.33,UID-66454,No
866351,UID-92159,No,No,Yes,57,Yes,Option A,Option B,Option C,Option A,Option B,Option C,Option B,Option B,Option A,Yes,Option C,45,UID-16988,Yes
401500,UID-64378,Yes,No,Yes,37,No,Option C,Option A,Option B,Option A,Option B,Option B,Option C,Option C,Option B,Yes,Option B,50.56,UID-25809,No
503464,UID-10234,Yes,No,Yes,29,No,Option A,Option C,Option B,Option B,Option C,Option B,Option B,Option A,Option A,No,Option B,97.07,UID-99086,No
630963,UID-52783,Yes,No,No,22,No,Option B,Option C,Option A,Option A,Option A,Option A,Option C,Option C,Option C,No,Option A,50.31,UID-83748,Yes
716429,UID-20791,No,No,No,14,Yes,Option A,Option A,Option A,Option C,Option A,Option C,Option A,Option B,Option C,Yes,Option C,111.86,UID-30472,No
113539,UID-80962,No,No,No,69,Yes,Option C,Option C,Option A,Option B,Option C,Option B,Option A,Option C,Option C,No,Option A,25.73,UID-85943,No
370774,UID-83755,Yes,No,Yes,18,Yes,Option B,Option A,Option B,Option C,Option C,Option B,Option B,Option B,Option A,Yes,Option C,81.22,UID-61213,Yes
713783,UID-46045,No,Yes,Yes,8,No,Option A,Option C,Option C,Option C,Option A,Option C,Option B,Option A,Option B,Yes,Option A,68.84,UID-81077,Yes
252975,UID-99691,Yes,No,Yes,60,No,Option A,Option A,Option C,Option C,Option C,Option B,Option B,Option A,Option B,No,Option B,34.71,UID-57683,Yes
121210,UID-25664,Yes,No,Yes,24,Yes,Option C,Option A,Option B,Option A,Option B,Option C,Option B,Option A,Option C,Yes,Option A,59.32,UID-68598,Yes
877578,UID-78195,No,No,Yes,70,Yes,Option A,Option A,Option A,Option A,Option C,Option C,Option C,Option C,Option B,No,Option C,78.99,UID-41203,No
483584,UID-27111,No,No,Yes,38,No,Option C,Option C,Option A,Option C,Option C,Option C,Option C,Option A,Option B,No,Option C,89.49,UID-54842,Yes
273641,UID-67211,No,Yes,Yes,46,Yes,Option A,Option A,Option A,Option A,Option A,Option C,Option A,Option C,Option C,No,Option B,58.22,UID-23091,No
944987,UID-14296,Yes,Yes,Yes,57,No,Option C,Option B,Option C,Option C,Option C,Option B,Option C,Option A,Option A,Yes,Option A,20.16,UID-51577,No
436200,UID-53240,Yes,No,No,55,No,Option C,Option C,Option C,Option A,Option B,Option A,Option C,Option B,Option B,Yes,Option B,71.88,UID-43979,Yes
254377,UID-57668,Yes,No,No,0,No,Option C,Option A,Option A,Option C,Option B,Option C,Option A,Option C,Option C,Yes,Option B,109.49,UID-21051,Yes
182381,UID-42016,No,No,No,5,No,Option C,Option A,Option B,Option B,Option A,Option C,Option B,Option C,Option C,No,Option B,50.67,UID-62834,No
503956,UID-61093,No,No,Yes,40,Yes,Option C,Option C,Option C,Option A,Option A,Option A,Option A,Option A,Option C,Yes,Option A,89.03,UID-24755,No
589953,UID-18474,No,Yes,No,51,No,Option C,Option C,Option A,Option A,Option B,Option C,Option C,Option A,Option A,Yes,Option A,111.46,UID-80223,No
613553,UID-71399,Yes,No,No,3,No,Option A,Option A,Option B,Option C,Option B,Option C,Option C,Option C,Option A,No,Option B,50.15,UID-83632,No
728880,UID-84340,Yes,Yes,Yes,66,Yes,Option A,Option C,Option B,Option B,Option A,Option C,Option C,Option B,Option A,No,Option A,28.81,UID-48575,No
728068,UID-26245,No,No,Yes,5,No,Option C,Option B,Option B,Option B,Option B,Option A,Option C,Option A,Option C,Yes,Option B,49.41,UID-63164,No
276079,UID-41841,No,Yes,No,65,Yes,Option B,Option A,Option A,Option B,Option C,Option C,Option C,Option A,Option B,No,Option B,88.06,UID-54899,Yes
912428,UID-30561,Yes,Yes,Yes,52,No,Option C,Option A,Option C,Option C,Option B,Option B,Option B,Option A,Option A,Yes,Option C,23.85,UID-62769,No
932589,UID-98483,Yes,No,Yes,43,Yes,Option B,Option B,Option C,Option C,Option B,Option C,Option C,Option B,Option C,Yes,Option C,89.54,UID-22677,No
571036,UID-37835,Yes,No,Yes,68,No,Option A,Option C,Option B,Option A,Option C,Option A,Option C,Option C,Option A,No,Option A,54.91,UID-72874,No
866270,UID-72654,Yes,No,No,6,No,Option A,Option C,Option B,Option C,Option B,Option A,Option C,Option A,Option C,No,Option B,115.12,UID-44661,Yes
657250,UID-58448,Yes,No,Yes,14,No,Option A,Option B,Option C,Option B,Option B,Option C,Option A,Option A,Option A,No,Option A,59.57,UID-76348,No
950336,UID-53355,No,No,Yes,55,No,Option C,Option B,Option A,Option A,Option B,Option C,Option C,Option B,Option B,No,Option C,47.83,UID-65579,Yes
873022,UID-33549,No,No,Yes,8,No,Option B,Option A,Option C,Option A,Option A,Option C,Option C,Option B,Option C,No,Option C,29.65,UID-11048,No
222630,UID-83341,No,Yes,Yes,31,Yes,Option C,Option B,Option C,Option A,Option C,Option A,Option C,Option A,Option B,Yes,Option A,68.43,UID-57864,No
949862,UID-74739,Yes,No,No,4,No,Option A,Option B,Option B,Option B,Option A,Option B,Option B,Option B,Option A,Yes,Option B,36.65,UID-28330,Yes
848339,UID-93574,Yes,Yes,Yes,20,Yes,Option C,Option A,Option B,Option A,Option B,Option B,Option A,Option B,Option B,No,Option C,117.77,UID-43921,No
356878,UID-45630,No,No,Yes,49,No,Option C,Option A,Option C,Option B,Option A,Option C,Option B,Option B,Option C,Yes,Option C,51.81,UID-61431,No
192157,UID-76998,Yes,No,No,31,Yes,Option A,Option C,Option A,Option A,Option A,Option B,Option B,Option A,Option A,No,Option B,35.3,UID-76834,Yes
648356,UID-49762,No,No,Yes,68,Yes,Option B,Option B,Option A,Option C,Option A,Option C,Option A,Option A,Option C,Yes,Option C,112.24,UID-25653,No
816011,UID-51473,Yes,No,Yes,26,Yes,Option C,Option A,Option B,Option A,Option A,Option B,Option A,Option A,Option A,Yes,Option B,91.5,UID-94279,No
202059,UID-19869,Yes,No,Yes,19,No,Option A,Option A,Option C,Option C,Option C,Option B,Option B,Option A,Option C,No,Option A,61.52,UID-10870,Yes
343865,UID-50203,Yes,Yes,Yes,58,Yes,Option A,Option A,Option A,Option B,Option B,Option A,Option A,Option C,Option B,No,Option A,65.24,UID-83931,No
367084,UID-30347,Yes,No,Yes,64,Yes,Option A,Option A,Option A,Option B,Option C,Option C,Option B,Option C,Option C,No,Option B,55.95,UID-28978,No
529165,UID-22972,Yes,Yes,No,7,Yes,Option C,Option A,Option C,Option B,Option A,Option B,Option C,Option A,Option A,Yes,Option C,107.92,UID-41834,Yes
176143,UID-79160,Yes,Yes,No,18,No,Option C,Option B,Option B,Option C,Option A,Option C,Option C,Option C,Option A,Yes,Option A,95.3,UID-52017,Yes
742686,UID-74651,No,No,Yes,58,Yes,Option A,Option C,Option C,Option B,Option C,Option A,Option A,Option B,Option B,Yes,Option B,44.2,UID-55575,Yes
751516,UID-43389,Yes,Yes,No,25,No,Option A,Option B,Option A,Option A,Option B,Option B,Option C,Option B,Option B,Yes,Option A,54.78,UID-98568,No
575203,UID-97457,Yes,No,Yes,48,No,Option A,Option A,Option B,Option B,Option C,Option A,Option A,Option B,Option A,No,Option B,77.7,UID-59725,No
858701,UID-68124,Yes,Yes,Yes,55,Yes,Option B,Option C,Option B,Option A,Option B,Option C,Option C,Option C,Option A,No,Option A,38.81,UID-94219,No
438517,UID-88709,Yes,Yes,Yes,49,No,Option B,Option A,Option B,Option B,Option A,Option B,Option A,Option B,Option C,No,Option C,71.27,UID-19564,No
553993,UID-13509,No,Yes,Yes,59,Yes,Option B,Option A,Option B,Option B,Option B,Option C,Option A,Option A,Option A,No,Option C,102.83,UID-80814,No
293307,UID-14554,Yes,No,No,67,Yes,Option B,Option A,Option B,Option B,Option C,Option B,Option C,Option C,Option A,Yes,Option A,77.79,UID-76509,Yes
108573,UID-52677,Yes,Yes,No,63,No,Option C,Option A,Option B,Option C,Option A,Option A,Option A,Option A,Option A,Yes,Option C,68.54,UID-53586,Yes
222456,UID-92062,Yes,Yes,Yes,32,Yes,Option B,Option B,Option B,Option B,Option C,Option C,Option A,Option B,Option A,Yes,Option B,98.31,UID-65433,No
890326,UID-57339,Yes,No,Yes,32,Yes,Option A,Option A,Option A,Option A,Option C,Option C,Option C,Option B,Option A,Yes,Option C,36.23,UID-61978,Yes
250105,UID-23126,Yes,Yes,No,58,No,Option C,Option B,Option C,Option B,Option B,Option B,Option A,Option A,Option C,No,Option C,26.4,UID-60399,Yes
794538,UID-90428,Yes,No,No,26,Yes,Option B,Option A,Option A,Option C,Option A,Option B,Option C,Option C,Option A,Yes,Option B,49.16,UID-22351,Yes
941254,UID-82742,Yes,Yes,Yes,40,No,Option B,Option C,Option C,Option C,Option C,Option C,Option C,Option A,Option A,Yes,Option A,29.72,UID-34388,Yes
426027,UID-87486,No,Yes,Yes,68,No,Option A,Option A,Option A,Option B,Option A,Option A,Option A,Option B,Option C,Yes,Option C,39.71,UID-44105,Yes
641520,UID-57331,Yes,Yes,No,9,No,Option A,Option B,Option C,Option B,Option A,Option C,Option B,Option C,Option B,No,Option B,72.29,UID-73737,No
309373,UID-21092,No,Yes,Yes,42,No,Option C,Option B,Option A,Option B,Option C,Option C,Option C,Option C,Option B,No,Option A,106.73,UID-36015,Yes
396529,UID-69551,No,No,Yes,70,No,Option B,Option C,Option A,Option A,Option A,Option B,Option B,Option B,Option C,No,Option A,60.84,UID-52736,Yes
452941,UID-57496,Yes,No,No,38,Yes,Option B,Option C,Option A,Option C,Option C,Option A,Option B,Option C,Option C,No,Option A,46.57,UID-76385,Yes
697529,UID-87324,No,No,No,67,Yes,Option C,Option B,Option B,Option B,Option B,Option B,Option B,Option A,Option A,Yes,Option B,45.55,UID-55796,No
164093,UID-19009,No,No,No,72,No,Option A,Option C,Option A,Option B,Option C,Option B,Option A,Option A,Option A,Yes,Option A,23.47,UID-59527,Yes
629022,UID-67543,No,Yes,Yes,26,Yes,Option A,Option B,Option A,Option C,Option C,Option A,Option C,Option A,Option C,No,Option A,111.18,UID-71771,No
367627,UID-74716,No,No,No,9,No,Option C,Option A,Option B,Option A,Option B,Option C,Option C,Option A,Option B,Yes,Option A,23.6,UID-17343,No
632016,UID-44764,Yes,Yes,Yes,65,Yes,Option C,Option C,Option C,Option A,Option C,Option A,Option C,Option A,Option A,No,Option C,99.7,UID-70263,No
140589,UID-78460,Yes,No,Yes,63,Yes,Option A,Option B,Option B,Option C,Option B,Option C,Option C,Option A,Option B,Yes,Option A,99.07,UID-13450,No
641702,UID-51094,Yes,No,No,65,No,Option B,Option C,Option C,Option C,Option B,Option A,Option A,Option A,Option C,Yes,Option A,45.12,UID-95527,No
945003,UID-88370,Yes,Yes,No,50,Yes,Option C,Option C,Option A,Option A,Option A,Option B,Option C,Option B,Option C,No,Option A,76.14,UID-49567,No
375756,UID-18213,No,Yes,No,7,No,Option C,Option A,Option B,Option A,Option C,Option A,Option B,Option C,Option C,Yes,Option A,83.39,UID-55086,No
448569,UID-11636,No,No,Yes,40,Yes,Option C,Option B,Option A,Option B,Option C,Option C,Option C,Option B,Option C,Yes,Option B,21.4,UID-44078,Yes
930757,UID-78290,No,No,No,37,No,Option C,Option A,Option B,Option C,Option B,Option C,Option B,Option A,Option B,Yes,Option C,94.13,UID-78827,No
421995,UID-83625,No,No,No,16,Yes,Option A,Option A,Option B,Option C,Option B,Option A,Option B,Option C,Option A,No,Option C,71.55,UID-46146,No
677549,UID-45735,No,Yes,Yes,9,No,Option C,Option C,Option A,Option A,Option C,Option C,Option B,Option C,Option C,Yes,Option B,71.96,UID-12440,No
722108,UID-56988,No,No,No,1,No,Option C,Option C,Option B,Option B,Option B,Option A,Option A,Option B,Option A,No,Option A,35.2,UID-69590,No
260585,UID-25782,No,Yes,Yes,68,Yes,Option C,Option B,Option A,Option B,Option A,Option A,Option A,Option A,Option C,No,Option C,36.76,UID-83435,No
850734,UID-96676,Yes,No,Yes,33,Yes,Option B,Option A,Option A,Option B,Option A,Option C,Option A,Option C,Option A,Yes,Option A,118.44,UID-72644,Yes
646824,UID-46574,Yes,No,No,45,No,Option C,Option B,Option A,Option C,Option A,Option C,Option C,Option C,Option A,Yes,Option C,77.36,UID-46349,No
466712,UID-91212,No,Yes,Yes,22,Yes,Option A,Option C,Option B,Option A,Option A,Option B,Option A,Option B,Option C,Yes,Option B,56.6,UID-71451,Yes
399033,UID-93798,Yes,No,No,0,Yes,Option C,Option C,Option C,Option A,Option A,Option A,Option C,Option C,Option C,Yes,Option A,102.92,UID-43565,Yes
842571,UID-96264,Yes,Yes,No,39,Yes,Option A,Option B,Option B,Option C,Option A,Option C,Option C,Option C,Option C,No,Option A,25.57,UID-40979,Yes
569796,UID-96844,No,No,No,15,Yes,Option B,Option C,Option C,Option C,Option A,Option A,Option A,Option A,Option C,Yes,Option A,82.74,UID-92267,No
958576,UID-18019,Yes,Yes,No,63,No,Option C,Option C,Option B,Option C,Option C,Option A,Option A,Option C,Option C,No,Option C,81.77,UID-19065,Yes
499183,UID-18401,No,No,No,53,Yes,Option C,Option C,Option A,Option A,Option A,Option B,Option A,Option A,Option C,No,Option C,87.99,UID-94099,Yes
