architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open,system_state,root_cause
Option B,Option A,Option B,15,UNKNOWN,363.12,130,0.73,1,33,90,185.53,0.93,1213.46,3007.14,0.05,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option C,Option C,Option C,39,UNKNOWN,1203.36,10,0.94,3,39,68,135.49,0.26,304.63,445.54,11.88,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option B,Option B,29,UNKNOWN,938.78,127,0.93,1,77,98,138.02,2.43,135.04,1540.88,5.14,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,11,UNKNOWN,2004.37,135,0.6,4,96,85,326.78,2.81,355.44,2946.1,9.48,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option C,Option C,35,UNKNOWN,1869.56,44,0.72,1,97,11,199.84,2.28,742.12,2673.13,37.62,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option C,Option B,39,UNKNOWN,1075.02,115,0.43,2,66,65,87.54,1.49,1014.6,947.91,5.2,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option A,Option A,13,UNKNOWN,286.54,113,0.7,2,53,70,179.52,0.46,871.86,2023.24,38.35,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option A,Option B,20,UNKNOWN,1010.76,126,0.64,3,15,60,70.54,0.75,557.44,2445.33,17.93,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option A,Option B,51,UNKNOWN,1924.92,98,0.5,2,54,22,157.82,0.54,1312.76,2089.87,1.69,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option A,Option A,3,UNKNOWN,2605.78,6,0.72,4,41,86,234.05,2.52,1192.41,2065.91,1.75,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option C,Option B,34,UNKNOWN,2702.38,143,0.8,3,91,64,306.78,2.53,1527.96,1243.11,30.4,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option C,Option A,Option B,1,UNKNOWN,3107.97,75,0.88,2,64,81,109.64,1.07,323.0,1725.84,12.75,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option A,Option B,3,UNKNOWN,1448.68,139,0.76,2,6,75,29.64,1.79,1189.57,2762.83,32.56,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option B,Option B,24,UNKNOWN,1935.47,127,0.75,2,67,2,109.05,1.12,79.47,137.78,19.48,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option A,48,UNKNOWN,139.3,110,0.55,4,30,81,38.11,2.12,580.99,2849.26,1.95,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option C,Option C,6,UNKNOWN,3068.85,97,0.71,3,15,50,398.38,2.95,900.32,2381.33,15.54,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option A,Option C,52,UNKNOWN,2079.9,9,0.47,3,94,75,396.47,2.48,892.13,1952.41,21.23,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option B,Option B,Option C,38,UNKNOWN,1480.37,100,0.7,2,78,51,87.77,0.74,1506.34,1430.08,25.15,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option C,Option C,52,UNKNOWN,348.86,137,0.8,4,31,11,29.14,2.05,902.09,1862.18,10.66,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option A,Option A,19,UNKNOWN,2455.54,107,0.56,4,60,65,14.76,0.7,985.88,322.55,14.36,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option A,Option A,6,UNKNOWN,100.84,4,0.68,4,98,48,275.2,2.26,594.65,2000.78,41.99,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option C,Option A,51,UNKNOWN,3095.26,11,0.67,2,42,79,3.6,1.56,418.13,1757.02,11.79,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option C,Option C,51,UNKNOWN,560.15,77,0.73,2,55,55,358.19,0.27,525.81,2171.61,0.58,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option A,Option A,1,UNKNOWN,2769.41,45,0.55,4,84,49,256.86,1.03,484.2,2644.68,12.52,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option C,Option C,23,UNKNOWN,1225.88,126,0.69,4,54,2,169.5,2.46,1535.89,2920.14,8.66,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option B,Option A,59,UNKNOWN,1099.53,12,0.81,2,93,68,394.82,0.32,437.25,750.76,41.46,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option C,Option A,42,UNKNOWN,2334.34,54,0.76,2,64,85,280.99,0.87,1395.58,2490.17,2.34,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option C,Option C,41,UNKNOWN,1211.46,4,0.65,1,83,19,114.99,2.82,741.41,2014.55,45.19,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option C,Option B,47,UNKNOWN,2480.49,27,0.79,2,73,8,94.99,2.37,934.4,1663.4,29.47,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option A,Option C,39,UNKNOWN,1751.86,114,0.45,2,25,79,78.82,1.69,811.47,718.37,12.72,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option C,Option B,15,UNKNOWN,1395.47,119,0.42,3,73,74,377.71,2.85,193.61,1429.16,47.66,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
