Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
UNKNOWN,No,Option B,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_2,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_24,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_80,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_15,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_9,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_86,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_51,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_91,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_44,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_34,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_56,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_20,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_6,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_58,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_47,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_45,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_66,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_87,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_99,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_48,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
