ts,device,co,humidity,light,lpg,motion,smoke,temp
1595029351.12,Option C,0.01,90.13,Yes,0.01,Yes,0.01,2.84
1594700897.45,Option B,0.01,14.06,No,0.01,No,0.03,24.66
1595094753.01,Option B,0.01,57.64,No,0.01,No,0.03,19.65
1595133090.48,Option C,0.01,36.42,Yes,0.01,No,0.02,24.69
1595073139.01,Option A,0.01,6.56,Yes,0.01,Yes,0.04,25.41
1594969326.95,Option B,0.01,33.75,No,0.01,No,0.02,13.93
1594681346.07,Option C,0.0,54.46,No,0.01,Yes,0.04,14.17
1594671549.63,Option C,0.01,43.53,Yes,0.0,No,0.03,25.07
1595043397.94,Option C,0.01,77.32,Yes,0.02,No,0.03,26.01
1594844527.16,Option A,0.0,65.27,Yes,0.01,Yes,0.04,8.8
1595145961.05,Option C,0.01,98.28,No,0.01,No,0.04,11.87
1594696320.6,Option B,0.0,95.57,Yes,0.01,Yes,0.03,3.12
1594917582.75,Option A,0.01,8.25,No,0.01,Yes,0.01,20.77
1594749236.75,Option B,0.0,51.83,No,0.01,Yes,0.03,10.1
1594898439.48,Option C,0.01,53.29,Yes,0.02,Yes,0.04,12.57
1595201786.23,Option C,0.0,61.46,Yes,0.01,Yes,0.04,22.49
1594564611.86,Option A,0.01,6.4,No,0.01,No,0.02,27.01
1594900578.96,Option A,0.01,20.17,No,0.01,Yes,0.04,15.9
1595137534.34,Option C,0.01,96.83,Yes,0.01,No,0.02,12.25
1594565643.28,Option B,0.01,36.19,Yes,0.01,Yes,0.01,13.17
1594535649.32,Option B,0.01,45.5,Yes,0.01,Yes,0.03,24.13
1595166783.61,Option A,0.01,3.41,Yes,0.01,No,0.01,21.1
1594644852.91,Option B,0.01,27.5,Yes,0.01,Yes,0.04,2.49
1595202317.9,Option A,0.01,56.09,Yes,0.0,Yes,0.01,9.96
1594513080.07,Option B,0.01,28.73,No,0.01,Yes,0.04,14.98
1594656161.78,Option C,0.01,96.29,Yes,0.0,Yes,0.01,14.0
1595084296.28,Option A,0.0,40.47,No,0.02,Yes,0.02,3.71
1594809224.61,Option B,0.0,44.82,Yes,0.01,No,0.04,30.09
1595103116.93,Option B,0.01,83.89,No,0.02,Yes,0.03,15.16
1594877445.77,Option C,0.01,61.09,Yes,0.01,No,0.04,20.96
1594548666.96,Option C,0.01,37.89,No,0.02,No,0.02,24.8
1594775902.64,Option C,0.0,18.64,No,0.02,No,0.01,12.5
1594998532.68,Option B,0.01,6.99,No,0.0,Yes,0.04,6.48
1595086787.28,Option A,0.01,38.36,No,0.01,Yes,0.02,21.12
1594891289.24,Option B,0.01,56.49,Yes,0.01,Yes,0.02,26.56
