index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
374155,UID-33881,UID-72089,UID-77011,80995,UID-37477,23136.2,0,UID-87121
383393,UID-94134,UID-32663,UID-79266,80995,UID-67224,8565.03,0,UID-52318
14759,UID-76591,UID-32106,UID-34485,80995,UID-33650,-7064.18,0,UID-40625
11575,UID-35647,UID-52305,UID-70341,80995,UID-94139,37246.8,0,UID-55395
535308,UID-53134,UID-20469,UID-33012,80995,UID-90396,26379.66,0,UID-58651
155975,UID-46079,UID-85863,UID-13517,80995,UID-11242,-9922.46,0,UID-92738
442532,UID-37014,UID-75819,UID-20324,80995,UID-17978,22521.35,0,UID-57755
80647,UID-78906,UID-63765,UID-25182,80995,UID-88146,33717.43,0,UID-27470
143449,UID-98680,UID-33579,UID-91072,80995,UID-76686,11233.04,0,UID-71905
77340,UID-54206,UID-20383,UID-25316,80995,UID-51466,-3888.19,0,UID-40934
66564,UID-15176,UID-31722,UID-39209,80995,UID-79716,4235.68,0,UID-55331
380312,UID-86037,UID-30426,UID-47279,80995,UID-13685,721.69,0,UID-13458
480727,UID-12431,UID-11557,UID-68198,80995,UID-33173,942.36,0,UID-10373
15129,UID-13563,UID-79379,UID-63531,80995,UID-38407,37178.56,0,UID-69853
11116,UID-91958,UID-12253,UID-29786,80995,UID-96927,24998.74,0,UID-59492
129128,UID-66257,UID-37762,UID-84122,80995,UID-40162,38954.52,0,UID-99881
318071,UID-33706,UID-53735,UID-30533,80995,UID-10500,9725.91,0,UID-22104
410683,UID-96010,UID-25201,UID-51231,80995,UID-17498,20077.71,0,UID-61836
341230,UID-87561,UID-77349,UID-84245,80995,UID-93291,16529.59,0,UID-49816
385553,UID-71501,UID-28708,UID-45015,80995,UID-62372,-916.72,0,UID-57262
367537,UID-18391,UID-78871,UID-14996,80995,UID-74317,18084.12,0,UID-40174
500165,UID-66672,UID-93013,UID-50497,80995,UID-87946,8013.19,0,UID-78154
178927,UID-54786,UID-46470,UID-72011,80995,UID-81452,6153.85,0,UID-91251
336364,UID-26376,UID-83545,UID-79749,80995,UID-76847,37629.52,0,UID-75184
523012,UID-89988,UID-89583,UID-99225,80995,UID-89413,2513.43,0,UID-29893
450409,UID-54468,UID-38470,UID-89288,80995,UID-55807,13335.78,0,UID-87412
231364,UID-57749,UID-32922,UID-53329,80995,UID-57815,-3708.85,0,UID-11173
492540,UID-44534,UID-13869,UID-98336,80995,UID-81155,-10573.63,0,UID-26259
395364,UID-92919,UID-18654,UID-54050,80995,UID-60033,-8838.48,0,UID-94139
394156,UID-43109,UID-81067,UID-71781,80995,UID-46413,-7414.78,0,UID-18962
199505,UID-46040,UID-81949,UID-43592,80995,UID-54087,30720.21,0,UID-36881
36604,UID-58433,UID-31969,UID-60652,80995,UID-76310,-2041.59,0,UID-52448
242026,UID-72528,UID-31847,UID-21816,80995,UID-20537,8841.95,0,UID-62085
266168,UID-16357,UID-63420,UID-35225,80995,UID-17987,7967.46,0,UID-63089
265267,UID-97656,UID-53554,UID-66618,80995,UID-31536,27157.0,0,UID-45959
341665,UID-79786,UID-20809,UID-65627,80995,UID-97643,36654.92,0,UID-15326
23204,UID-92410,UID-96608,UID-45263,80995,UID-77700,30953.66,0,UID-24810
268262,UID-47021,UID-73857,UID-44703,80995,UID-81765,12236.72,0,UID-21205
524393,UID-95117,UID-36309,UID-42615,80995,UID-41182,-5024.02,0,UID-96733
48613,UID-11446,UID-31205,UID-76128,80995,UID-25146,29476.12,0,UID-60032
167918,UID-38060,UID-13315,UID-29997,80995,UID-90508,1775.14,0,UID-69705
21866,UID-19265,UID-86835,UID-16792,80995,UID-29905,-843.18,0,UID-95052
32806,UID-57800,UID-69106,UID-76587,80995,UID-86149,7878.38,0,UID-60822
343805,UID-86111,UID-81202,UID-28513,80995,UID-73110,6456.2,0,UID-58891
38546,UID-87010,UID-34306,UID-35165,80995,UID-70790,5023.31,0,UID-98710
184634,UID-84397,UID-17070,UID-51824,80995,UID-56000,402.4,0,UID-42937
174563,UID-89726,UID-21610,UID-43615,80995,UID-24825,-6736.33,0,UID-61190
168709,UID-41672,UID-75069,UID-56031,80995,UID-76708,35377.1,0,UID-81727
218850,UID-46956,UID-99446,UID-21588,80995,UID-63112,24492.43,0,UID-50323
173876,UID-38008,UID-24647,UID-32412,80995,UID-94806,-2058.33,0,UID-74431
215443,UID-37142,UID-89920,UID-74013,80995,UID-64692,27175.45,0,UID-29945
73185,UID-52310,UID-65105,UID-89209,80995,UID-10235,3718.99,0,UID-42543
450046,UID-13635,UID-33873,UID-39250,80995,UID-86880,-10933.73,0,UID-44044
471217,UID-17304,UID-32309,UID-24020,80995,UID-91966,29403.01,0,UID-78105
17731,UID-64245,UID-21446,UID-16248,80995,UID-24590,2323.25,0,UID-72257
500076,UID-59114,UID-39421,UID-79230,80995,UID-95149,-10739.2,0,UID-36785
323484,UID-38047,UID-45102,UID-86466,80995,UID-36121,33155.86,0,UID-97570
52349,UID-20411,UID-26281,UID-75962,80995,UID-64720,14954.12,0,UID-94148
521523,UID-57538,UID-17258,UID-73612,80995,UID-68562,-5671.63,0,UID-53566
345334,UID-79066,UID-48641,UID-89309,80995,UID-82063,-7681.24,0,UID-75100
280815,UID-15320,UID-59405,UID-24206,80995,UID-70559,10892.53,0,UID-45920
78146,UID-93137,UID-22329,UID-35302,80995,UID-71272,-6881.09,0,UID-84564
383717,UID-47609,UID-56650,UID-84645,80995,UID-70623,31074.58,0,UID-61785
541358,UID-12812,UID-12937,UID-49021,80995,UID-13279,3527.89,0,UID-76204
395483,UID-83645,UID-84024,UID-42579,80995,UID-69755,13447.82,0,UID-88093
507574,UID-42249,UID-54467,UID-12650,80995,UID-67660,25802.0,0,UID-41658
191893,UID-19699,UID-82916,UID-36706,80995,UID-58107,1500.32,0,UID-83056
356926,UID-90040,UID-50621,UID-18694,80995,UID-52822,-8923.74,0,UID-73114
