Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
UID-96206,Option A,55,No,UNKNOWN,UID-67287,92033,34.68,-118.3,1,70,Option C,Yes,0,Yes,No,Option B,0,Yes,No,No,No,Yes,Yes,No,No,Option A,No,Option A,34.35,1403.53,3.79,44,3044.19,10460.42,Option C,Option B,UID-47251
UID-62863,Option C,29,No,UNKNOWN,UID-68386,93564,33.22,-123.56,2,49,Option A,No,0,Yes,Yes,Option B,0,No,No,No,Yes,Yes,Yes,Yes,No,Option C,No,Option C,-8.38,4498.11,10.33,148,3125.6,3952.66,Option C,Option C,UID-91877
UID-69806,Option C,32,No,UNKNOWN,UID-65064,96108,41.17,-123.07,7,45,Option C,No,0,No,Yes,Option C,0,No,Yes,Yes,Yes,Yes,No,Yes,No,Option C,No,Option A,107.47,3455.77,32.82,67,936.31,1774.03,Option C,Option C,UID-30319
UID-52079,Option A,29,Yes,UNKNOWN,UID-18029,92884,40.65,-118.4,1,60,Option B,No,0,Yes,Yes,Option C,0,No,No,No,No,Yes,Yes,Yes,No,Option B,No,Option C,78.76,4170.68,26.41,23,3167.25,2968.49,Option A,Option B,UID-19247
UID-38960,Option A,75,Yes,UNKNOWN,UID-96970,96064,32.79,-121.07,5,15,Option B,No,0,Yes,Yes,Option C,0,No,No,No,No,No,No,Yes,Yes,Option B,Yes,Option A,43.76,2030.93,3.95,97,1858.22,2969.63,Option B,Option C,UID-43171
UID-87500,Option B,29,No,UNKNOWN,UID-80572,91017,40.01,-116.09,0,31,Option A,No,0,Yes,Yes,Option B,0,Yes,Yes,No,No,Yes,No,No,No,Option B,No,Option B,72.41,5612.05,39.05,142,2427.69,10553.59,Option B,Option C,UID-91748
UID-36683,Option C,67,No,UNKNOWN,UID-76030,93082,33.85,-114.58,0,37,Option C,No,0,Yes,No,Option A,0,No,No,No,Yes,No,No,No,No,Option B,No,Option B,95.15,5377.02,17.93,146,2636.95,8200.38,Option B,Option C,UID-86147
UID-78153,Option A,73,No,UNKNOWN,UID-92901,92808,41.25,-116.79,2,19,Option C,No,0,No,No,Option A,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Option B,Yes,Option B,52.34,3269.91,4.35,4,2534.71,2058.91,Option B,Option B,UID-56429
UID-44372,Option A,32,Yes,UNKNOWN,UID-30063,95622,41.74,-122.53,2,15,Option B,Yes,0,Yes,No,Option C,0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Option B,Yes,Option C,56.6,4982.72,42.63,112,3362.9,7382.27,Option A,Option B,UID-96955
UID-26957,Option B,54,Yes,UNKNOWN,UID-78846,94342,40.55,-123.73,0,32,Option C,No,0,No,No,Option C,0,No,Yes,Yes,No,No,Yes,No,No,Option A,No,Option C,6.4,7722.12,14.77,53,3410.91,4199.42,Option B,Option B,UID-87862
UID-56672,Option B,21,Yes,UNKNOWN,UID-71515,93300,39.7,-116.72,3,65,Option B,No,0,No,No,Option C,0,No,Yes,No,Yes,Yes,Yes,Yes,No,Option C,No,Option B,-9.54,5609.35,31.6,124,273.33,5100.94,Option A,Option A,UID-35716
UID-91957,Option A,64,Yes,UNKNOWN,UID-27086,92485,34.0,-122.41,5,54,Option B,Yes,0,No,No,Option A,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Option C,Yes,Option A,11.94,2046.1,1.41,35,427.2,5359.45,Option B,Option B,UID-52522
UID-27988,Option C,80,No,UNKNOWN,UID-82097,95221,36.86,-120.15,4,54,Option A,Yes,0,Yes,No,Option A,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Option C,No,Option A,-1.36,181.67,49.51,78,334.85,9853.18,Option C,Option B,UID-58701
