Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,url,sku,name,description,price,currency,scraped_at,terms,section
125290,Option B,No,Option C,No,1153,Option B,UID-71478,UID-39651,UID-41365,UID-16159,236.87,Option B,UID-18536,Option C,Option A
166098,Option B,No,Option C,No,1735,Option C,UID-20638,UID-46386,UID-32570,UID-65938,416.75,Option B,UID-36308,Option B,Option A
146814,Option A,No,Option A,No,1894,Option B,UID-79973,UID-24984,UID-15957,UID-49372,417.03,Option C,UID-73532,Option B,Option A
143999,Option B,No,Option C,Yes,710,Option A,UID-28351,UID-48889,UID-36220,UID-40726,136.03,Option B,UID-40867,Option B,Option B
163474,Option A,Yes,Option A,No,2361,Option C,UID-17417,UID-30178,UID-56450,UID-34919,390.34,Option A,UID-68392,Option B,Option B
165420,Option A,Yes,Option C,Yes,1175,Option B,UID-48665,UID-77229,UID-11453,UID-78303,62.73,Option C,UID-77578,Option A,Option C
192819,Option B,Yes,Option B,No,2810,Option C,UID-89134,UID-67428,UID-11252,UID-41042,26.25,Option C,UID-53787,Option B,Option C
132010,Option B,Yes,Option A,Yes,553,Option C,UID-10951,UID-97077,UID-49647,UID-24158,293.63,Option B,UID-55024,Option B,Option C
188932,Option C,No,Option B,No,2825,Option B,UID-54766,UID-12109,UID-62474,UID-35383,212.42,Option A,UID-60896,Option B,Option C
187776,Option C,No,Option B,No,2756,Option A,UID-67385,UID-72880,UID-64478,UID-58407,90.84,Option B,UID-82678,Option B,Option B
158489,Option B,Yes,Option A,Yes,1335,Option B,UID-17684,UID-90742,UID-97149,UID-69504,363.96,Option C,UID-80277,Option A,Option A
112469,Option A,Yes,Option A,Yes,2650,Option A,UID-57117,UID-51119,UID-99039,UID-75212,95.08,Option C,UID-55291,Option B,Option C
110103,Option B,Yes,Option B,Yes,2447,Option A,UID-75499,UID-36880,UID-40532,UID-54303,144.57,Option A,UID-50321,Option B,Option B
147580,Option A,No,Option C,Yes,2220,Option B,UID-63221,UID-99633,UID-49754,UID-39298,151.11,Option C,UID-73057,Option B,Option B
135757,Option A,No,Option C,No,1583,Option A,UID-89623,UID-59264,UID-48038,UID-17983,277.13,Option C,UID-69619,Option B,Option A
146596,Option C,No,Option B,Yes,2210,Option C,UID-43917,UID-98352,UID-18857,UID-51437,377.06,Option C,UID-72545,Option A,Option C
140450,Option A,Yes,Option B,Yes,1542,Option C,UID-46717,UID-43587,UID-32677,UID-44294,259.2,Option A,UID-26071,Option C,Option C
126551,Option A,Yes,Option C,Yes,881,Option A,UID-15316,UID-19538,UID-74384,UID-96591,154.68,Option A,UID-36610,Option B,Option B
181907,Option C,Yes,Option C,No,932,Option C,UID-33857,UID-63589,UID-23778,UID-56061,385.92,Option B,UID-84338,Option A,Option C
188563,Option C,No,Option B,Yes,2546,Option C,UID-76341,UID-10393,UID-65106,UID-79188,252.63,Option A,UID-71135,Option C,Option B
132636,Option A,No,Option B,No,2642,Option C,UID-33234,UID-79884,UID-77953,UID-57974,350.43,Option B,UID-55934,Option A,Option A
166317,Option C,No,Option C,No,1255,Option A,UID-20033,UID-41394,UID-20762,UID-74254,424.5,Option B,UID-83790,Option C,Option C
175426,Option B,No,Option C,Yes,1871,Option C,UID-67790,UID-92868,UID-85287,UID-70889,399.72,Option A,UID-53492,Option A,Option A
179429,Option C,Yes,Option A,No,947,Option C,UID-78110,UID-89726,UID-30064,UID-48549,350.02,Option A,UID-17105,Option C,Option A
116236,Option B,Yes,Option B,Yes,2958,Option B,UID-52718,UID-81001,UID-42231,UID-41583,85.66,Option A,UID-79401,Option A,Option C
197135,Option B,Yes,Option B,No,1425,Option A,UID-10198,UID-50186,UID-97195,UID-20840,127.17,Option C,UID-66967,Option A,Option A
148983,Option C,No,Option B,Yes,2217,Option C,UID-93203,UID-89395,UID-68628,UID-38501,134.67,Option B,UID-79171,Option C,Option A
173090,Option C,Yes,Option C,Yes,1330,Option A,UID-39674,UID-66758,UID-81276,UID-13938,76.46,Option C,UID-16377,Option A,Option B
192876,Option C,Yes,Option A,No,1843,Option A,UID-95476,UID-93254,UID-36774,UID-80685,432.37,Option B,UID-85533,Option A,Option B
180070,Option C,Yes,Option C,No,937,Option A,UID-33671,UID-99823,UID-16141,UID-28771,243.92,Option C,UID-31226,Option A,Option C
150694,Option C,Yes,Option C,Yes,2227,Option B,UID-62904,UID-54093,UID-90995,UID-94493,283.76,Option A,UID-33552,Option A,Option A
194750,Option B,Yes,Option B,Yes,2038,Option A,UID-37914,UID-53705,UID-14628,UID-51557,298.29,Option C,UID-80067,Option C,Option B
143242,Option C,No,Option C,No,2171,Option B,UID-48058,UID-68861,UID-66499,UID-88304,26.12,Option B,UID-51136,Option C,Option C
158689,Option C,No,Option B,No,2346,Option B,UID-61110,UID-76953,UID-60411,UID-20636,376.76,Option A,UID-92919,Option B,Option C
168317,Option B,No,Option C,Yes,1554,Option B,UID-60654,UID-78344,UID-81319,UID-99510,325.98,Option C,UID-88928,Option A,Option A
150129,Option C,Yes,Option B,Yes,827,Option C,UID-60134,UID-27502,UID-52005,UID-24406,164.62,Option A,UID-28736,Option A,Option B
132134,Option C,Yes,Option A,Yes,2622,Option B,UID-83692,UID-71744,UID-72300,UID-11708,174.9,Option C,UID-51328,Option A,Option B
178602,Option A,No,Option B,No,2228,Option A,UID-99886,UID-40711,UID-10645,UID-91336,300.65,Option B,UID-54928,Option C,Option C
182106,Option A,Yes,Option A,No,1752,Option A,UID-28597,UID-35891,UID-70470,UID-31938,166.66,Option B,UID-35263,Option A,Option C
114418,Option C,Yes,Option A,Yes,1507,Option B,UID-56224,UID-81112,UID-58737,UID-90426,77.71,Option C,UID-16734,Option C,Option C
133253,Option B,Yes,Option A,No,1464,Option A,UID-60465,UID-62569,UID-36191,UID-24029,351.06,Option C,UID-31181,Option B,Option C
162796,Option C,No,Option A,No,1241,Option B,UID-16366,UID-92743,UID-42915,UID-38285,341.37,Option A,UID-20526,Option A,Option C
173806,Option A,Yes,Option A,Yes,2032,Option B,UID-25001,UID-50526,UID-15754,UID-74284,406.96,Option C,UID-48591,Option B,Option B
171238,Option B,No,Option A,No,1056,Option C,UID-13600,UID-20608,UID-65699,UID-29758,427.15,Option A,UID-30923,Option C,Option C
179231,Option B,Yes,Option C,No,1654,Option C,UID-52297,UID-78249,UID-81495,UID-72071,253.0,Option A,UID-21750,Option B,Option A
158042,Option B,Yes,Option B,No,2373,Option A,UID-65642,UID-47182,UID-78780,UID-26477,176.55,Option A,UID-81237,Option A,Option B
128571,Option A,Yes,Option B,No,865,Option C,UID-31878,UID-81001,UID-17958,UID-20601,395.68,Option B,UID-60846,Option A,Option B
136180,Option C,Yes,Option C,Yes,2461,Option C,UID-99416,UID-89941,UID-69690,UID-47470,58.97,Option C,UID-29954,Option C,Option A
137009,Option B,No,Option C,Yes,1552,Option C,UID-83189,UID-16478,UID-84026,UID-90221,76.02,Option B,UID-10373,Option B,Option C
148370,Option A,Yes,Option A,Yes,2022,Option C,UID-53569,UID-97077,UID-39851,UID-45459,276.3,Option C,UID-87526,Option A,Option B
197994,Option A,Yes,Option A,Yes,1749,Option A,UID-51823,UID-91099,UID-76110,UID-19761,125.87,Option A,UID-33393,Option A,Option C
186384,Option C,No,Option A,No,879,Option B,UID-92450,UID-55314,UID-52113,UID-59976,268.53,Option B,UID-44408,Option A,Option B
127512,Option C,Yes,Option C,Yes,2372,Option C,UID-56416,UID-34500,UID-24083,UID-30771,409.21,Option C,UID-85746,Option A,Option A
147891,Option B,Yes,Option A,No,1171,Option A,UID-95969,UID-23424,UID-72705,UID-71539,197.11,Option C,UID-47227,Option C,Option C
115355,Option B,No,Option C,No,1232,Option A,UID-43853,UID-78391,UID-25798,UID-13507,224.43,Option C,UID-88755,Option B,Option A
150529,Option A,No,Option B,No,711,Option C,UID-73448,UID-25829,UID-56417,UID-78484,232.22,Option C,UID-25653,Option A,Option C
174934,Option A,No,Option A,No,2802,Option A,UID-24299,UID-44435,UID-79140,UID-73175,342.38,Option A,UID-62099,Option C,Option A
193076,Option B,No,Option C,No,1980,Option C,UID-67323,UID-51068,UID-60157,UID-13383,83.63,Option A,UID-19509,Option A,Option C
160356,Option B,Yes,Option A,No,1020,Option C,UID-44992,UID-86638,UID-73037,UID-42574,162.71,Option B,UID-68032,Option B,Option A
120899,Option C,Yes,Option C,No,1114,Option B,UID-79773,UID-37207,UID-12350,UID-50292,311.38,Option C,UID-98337,Option C,Option B
127567,Option C,Yes,Option B,Yes,2465,Option B,UID-52300,UID-48811,UID-15219,UID-51571,274.06,Option A,UID-56084,Option C,Option C
146711,Option B,Yes,Option A,Yes,1366,Option C,UID-74941,UID-77141,UID-10772,UID-86801,370.53,Option C,UID-18844,Option C,Option B
157939,Option C,No,Option A,No,2030,Option B,UID-45599,UID-60489,UID-41353,UID-76567,374.35,Option A,UID-26721,Option C,Option B
199616,Option B,No,Option C,No,1490,Option A,UID-37683,UID-77416,UID-60174,UID-10553,22.64,Option C,UID-42278,Option C,Option C
125340,Option B,No,Option C,Yes,2772,Option B,UID-80485,UID-55091,UID-54515,UID-96995,332.52,Option C,UID-94430,Option C,Option C
173394,Option A,No,Option A,No,785,Option C,UID-72332,UID-70255,UID-23278,UID-69054,36.56,Option B,UID-56516,Option C,Option A
139634,Option B,No,Option C,No,2684,Option C,UID-41938,UID-84802,UID-48281,UID-46270,373.89,Option B,UID-19452,Option C,Option A
161852,Option A,Yes,Option C,Yes,696,Option B,UID-94400,UID-41762,UID-88944,UID-63549,290.05,Option B,UID-45231,Option C,Option A
173873,Option B,Yes,Option B,Yes,801,Option C,UID-47664,UID-47679,UID-35383,UID-84272,43.95,Option B,UID-20875,Option B,Option B
129697,Option C,No,Option A,No,2244,Option A,UID-28970,UID-52638,UID-51979,UID-75442,437.63,Option B,UID-70832,Option C,Option A
154905,Option B,No,Option C,No,2510,Option B,UID-64051,UID-61153,UID-92130,UID-57114,134.97,Option B,UID-36176,Option B,Option A
185464,Option B,Yes,Option A,No,2591,Option A,UID-75401,UID-32731,UID-88299,UID-29698,218.92,Option A,UID-69709,Option B,Option A
